ALL,AML
17.70565,26.82475
7.542855,10.21543
15.16041,10.15592
13.49328,14.70551
13.24559,7.29788
12.78454,9.661934
14.76737,23.87042
10.66109,2.003159
11.43634,0.08104487
6.878455,3.732469
20.78104,12.79127
17.81875,7.681967
11.13605,26.4968
7.527895,12.28672
8.408638,16.20047
21.80891,17.59422
12.12379,17.8439
16.77476,4.691822
10.80892,29.42158
4.472605,32.92347
13.06715,23.38269
15.61959,23.06478
4.87076,8.834085
12.03997,-0.9931261
14.29268,18.90445
13.68292,15.16899
6.682541,14.69329
20.00224,-3.924938
13.30389,13.00564
12.24671,39.81673
10.92026,22.6815
13.15772,16.77722
11.58863,11.09882
11.49116,1.579078
6.182602,14.00895
22.31474,7.491789
5.525754,18.3541
2.891274,17.46899
15.66482,16.70096
8.875429,25.45358
8.791568,14.2882
2.371018,16.4463
17.12348,21.72464
5.262021,19.4533
8.348215,19.9494
11.12686,25.78562
10.14413,9.029089
1.515628,19.40416
15.83731,11.53723
13.89982,26.61698
16.2245,10.37977
12.68706,3.919468
10.39597,13.19688
24.19889,11.11216
11.43486,10.40737
7.558615,15.26421
14.23932,5.071337
13.35132,10.04173
10.33499,0.8219118
13.8755,17.47938
8.666306,19.68201
8.590112,17.92636
3.920426,17.5553
17.26369,15.45056
9.56199,10.68784
13.25711,-12.38235
11.85953,24.44555
4.963425,25.45387
4.835331,20.00484
14.09331,20.30695
8.340972,20.47296
7.452501,20.61286
10.96888,27.15546
8.639889,11.26884
10.97264,7.815682
17.75927,39.33048
4.86057,22.87038
7.513198,3.099708
3.868815,6.816457
15.86505,15.87658
1.220836,2.426535
7.579981,20.05845
2.391851,27.1198
5.795798,1.708983
11.13543,15.42655
7.394597,0.130977
17.40907,32.16787
10.03051,23.64047
7.94119,14.69789
10.69784,10.21393
12.10541,16.37921
7.820811,37.66435
12.28408,14.24252
12.18306,-5.006231
20.12348,17.41168
11.77455,22.75692
7.140837,23.97159
8.176784,18.69196
12.78074,12.45253
12.77415,7.320572
