MEF2,IGF2R,Myog,IGFBP4,MRF4,Pax7,myt5,Cdx2,Rhox6,Notch4,Fox9
21.0,6.0,20.0,22.0,3.9,2.62,16.46,0.0,1.0,4.0,4.0
21.0,6.0,20.0,22.0,3.9,2.875,17.02,0.0,1.0,4.0,4.0
22.8,4.0,13.5,18.6,3.85,2.32,18.61,1.0,1.0,4.0,1.0
21.4,6.0,32.3,22.0,3.08,3.215,19.44,1.0,0.0,3.0,1.0
18.7,8.0,45.0,35.0,3.15,3.44,17.02,0.0,0.0,3.0,2.0
18.1,6.0,28.1,21.0,2.76,3.46,20.22,1.0,0.0,3.0,1.0
14.3,8.0,45.0,49.0,3.21,3.57,15.84,0.0,0.0,3.0,4.0
24.4,4.0,18.3,12.4,3.69,3.19,20.0,1.0,0.0,4.0,2.0
22.8,4.0,17.6,19.0,3.92,3.15,22.9,1.0,0.0,4.0,2.0
19.2,6.0,21.0,24.6,3.92,3.44,18.3,1.0,0.0,4.0,4.0
17.8,6.0,21.0,24.6,3.92,3.44,18.9,1.0,0.0,4.0,4.0
16.4,8.0,34.5,36.0,3.07,4.07,17.4,0.0,0.0,3.0,3.0
17.3,8.0,34.5,36.0,3.07,3.73,17.6,0.0,0.0,3.0,3.0
15.2,8.0,34.5,36.0,3.07,3.78,18.0,0.0,0.0,3.0,3.0
10.4,8.0,59.0,41.0,2.93,5.25,17.98,0.0,0.0,3.0,4.0
10.4,8.0,57.5,43.0,3.0,5.424,17.82,0.0,0.0,3.0,4.0
14.7,8.0,55.0,46.0,3.23,5.345,17.42,0.0,0.0,3.0,4.0
32.4,4.0,9.8,13.2,4.08,2.2,19.47,1.0,1.0,4.0,1.0
30.4,4.0,9.5,10.4,4.93,1.615,18.52,1.0,1.0,4.0,2.0
33.9,4.0,8.9,13.0,4.22,1.835,19.9,1.0,1.0,4.0,1.0
21.5,4.0,15.0,19.4,3.7,2.465,20.01,1.0,0.0,3.0,1.0
15.5,8.0,39.8,30.0,2.76,3.52,16.87,0.0,0.0,3.0,2.0
15.2,8.0,38.0,30.0,3.15,3.435,17.3,0.0,0.0,3.0,2.0
13.3,8.0,43.8,49.0,3.73,3.84,15.41,0.0,0.0,3.0,4.0
19.2,8.0,50.0,35.0,3.08,3.845,17.05,0.0,0.0,3.0,2.0
27.3,4.0,9.9,13.2,4.08,1.935,18.9,1.0,1.0,4.0,1.0
26.0,4.0,15.0,18.2,4.43,2.14,16.7,0.0,1.0,5.0,2.0
30.4,4.0,11.9,22.6,3.77,1.513,16.9,1.0,1.0,5.0,2.0
15.8,8.0,43.9,52.8,4.22,3.17,14.5,0.0,1.0,5.0,4.0
19.7,6.0,18.1,35.0,3.62,2.77,15.5,0.0,1.0,5.0,6.0
15.0,8.0,37.6,67.0,3.54,3.57,14.6,0.0,1.0,5.0,8.0
21.4,4.0,15.1,21.8,4.11,2.78,18.6,1.0,1.0,4.0,2.0
