expr,dosage
39,dosage1
9,dosage1
16,dosage1
78,dosage1
35,dosage1
66,dosage1
122,dosage1
89,dosage1
110,dosage1
NA,dosage1
NA,dosage1
44,dosage1
28,dosage1
65,dosage1
NA,dosage1
22,dosage1
59,dosage1
23,dosage1
31,dosage1
44,dosage1
21,dosage1
9,dosage1
NA,dosage1
45,dosage1
168,dosage1
73,dosage1
NA,dosage1
76,dosage1
118,dosage1
84,dosage1
85,dosage1
135,dosage2
49,dosage2
32,dosage2
NA,dosage2
64,dosage2
40,dosage2
77,dosage2
97,dosage2
97,dosage2
85,dosage2
NA,dosage2
10,dosage2
27,dosage2
NA,dosage2
7,dosage2
48,dosage2
35,dosage2
61,dosage2
79,dosage2
63,dosage2
16,dosage2
NA,dosage2
NA,dosage2
80,dosage2
108,dosage2
20,dosage2
52,dosage2
82,dosage2
50,dosage2
64,dosage2
59,dosage2
96,dosage3
78,dosage3
73,dosage3
91,dosage3
47,dosage3
32,dosage3
20,dosage3
23,dosage3
21,dosage3
24,dosage3
44,dosage3
21,dosage3
28,dosage3
9,dosage3
13,dosage3
46,dosage3
18,dosage3
13,dosage3
24,dosage3
16,dosage3
13,dosage3
23,dosage3
36,dosage3
7,dosage3
14,dosage3
30,dosage3
NA,dosage3
14,dosage3
18,dosage3
20,dosage3
NA,dosage4
NA,dosage4
NA,dosage4
NA,dosage4
NA,dosage4
NA,dosage4
29,dosage4
NA,dosage4
71,dosage4
39,dosage4
NA,dosage4
NA,dosage4
23,dosage4
NA,dosage4
NA,dosage4
21,dosage4
37,dosage4
20,dosage4
12,dosage4
13,dosage4
NA,dosage4
NA,dosage4
NA,dosage4
NA,dosage4
NA,dosage4
NA,dosage4
NA,dosage4
NA,dosage4
NA,dosage4
NA,dosage4
41,dosage5
36,dosage5
12,dosage5
18,dosage5
NA,dosage5
28,dosage5
23,dosage5
19,dosage5
8,dosage5
NA,dosage5
7,dosage5
16,dosage5
11,dosage5
14,dosage5
18,dosage5
14,dosage5
34,dosage5
6,dosage5
30,dosage5
11,dosage5
1,dosage5
11,dosage5
4,dosage5
32,dosage5
NA,dosage5
NA,dosage5
NA,dosage5
23,dosage5
45,dosage5
115,dosage5
37,dosage5
