classA,classB
-0.2545036,-0.285044
-0.3481449,-0.3899223
-0.4044196,-0.45295
-0.4874791,-0.5459766
-0.2545192,-0.2850615
-0.573884,-0.6427501
-0.3964694,-0.4440458
-0.4235604,-0.4743876
-0.2489014,-0.2787696
-0.3527362,-0.3950646
-0.4583267,-0.5133259
-0.3772527,-0.4225231
-0.4105216,-0.4597841
-0.6672851,-0.7473594
-0.4009879,-0.4491065
-0.4255902,-0.4766611
-0.3143031,-0.3520195
-0.3034873,-0.3399058
-0.4545734,-0.5091222
-0.3353258,-0.3755649
-0.3601839,-0.4034059
-0.377816,-0.4231539
-0.4319917,-0.4838307
-0.3798177,-0.4253958
-0.4080021,-0.4569624
-0.2889625,-0.3236379
-0.4024926,-0.4507917
-0.407982,-0.4569398
-0.4561515,-0.5108897
-0.3967391,-0.4443478
-0.4793674,-0.5368914
-0.27278,-0.3055136
-0.2547791,-0.2853526
-0.3895409,-0.4362859
-0.3972519,-0.4449222
-0.256043,-0.2867682
-0.464086,-0.5197763
-0.3934796,-0.4406972
-0.5225188,-0.5852211
-0.4312257,-0.4829728
-0.4011812,-0.4493229
-0.2386394,-0.2672762
-0.4500781,-0.5040874
-0.3850291,-0.4312325
-0.4040081,-0.4524891
-0.5152507,-0.5770807
-0.4505441,-0.5046094
-0.3268835,-0.3661095
-0.5315731,-0.5953618
-0.5182845,-0.5804786
-0.2526664,-0.2829863
-0.3701679,-0.414588
-0.4963263,-0.5558854
-0.5659941,-0.6339134
-0.5564372,-0.6232097
-0.5698268,-0.638206
-0.3421386,-0.3831952
-0.2337799,-0.2618335
-0.508634,-0.56967
-0.4687605,-0.5250118
-0.2467629,-0.2763744
-0.5058163,-0.5665142
-0.5042501,-0.5647601
-0.383235,-0.4292232
-0.251554,-0.2817405
-0.3388919,-0.3795589
-0.3952574,-0.4426883
-0.248027,-0.2777902
-0.3431979,-0.3843817
-0.4035111,-0.4519324
-0.3574941,-0.4003934
-0.4250851,-0.4760953
-0.4883316,-0.5469314
-0.4911876,-0.5501301
-0.4748728,-0.5318575
-0.479746,-0.5373156
-0.542834,-0.607974
-0.2906469,-0.3255245
-0.4685421,-0.5247672
-0.4061656,-0.4549055
-0.5122419,-0.5737109
-0.3144546,-0.3521891
-0.5821075,-0.6519604
-0.266348,-0.2983097
-0.3553079,-0.3979449
-0.3318577,-0.3716806
-0.5584641,-0.6254798
-0.391111,-0.4380444
-0.3981938,-0.445977
-0.4435681,-0.4967963
-0.647013,-0.7246545
-0.5343664,-0.5984904
-0.4169304,-0.4669621
-0.4383294,-0.4909289
-0.4445696,-0.4979179
-0.4200307,-0.4704343
-0.4191433,-0.4694405
-0.5096517,-0.5708099
-0.3933694,-0.4405737
-0.3938698,-0.4411342
-0.2102776,-0.235511
-0.4274349,-0.4787271
-0.3967271,-0.4443344
-0.3911932,-0.4381363
-0.4197157,-0.4700816
-0.3754134,-0.420463
-0.3810635,-0.4267911
-0.4487098,-0.502555
-0.2593196,-0.290438
-0.3502899,-0.3923247
-0.2936093,-0.3288424
-0.1824209,-0.2043114
-0.4938625,-0.553126
-0.4180361,-0.4682005
-0.4088037,-0.4578601
-0.4859355,-0.5442478
-0.4054824,-0.4541403
-0.5166012,-0.5785933
-0.5378283,-0.6023677
-0.4074606,-0.4563558
-0.4303644,-0.4820081
-0.266427,-0.2983983
-0.3770846,-0.4223348
